Part type;Job order;Operation number of detection;NC description;NC Code;Nomial;FLowerTolerance;FUpperTolerance;Measured Value;FDefectDesc_EN;Fqccomments_EN;MachineNum of detection;Operator of detection;Date of detection;Operation number of occurrence;operator of machining;MachineNum of occurrence;Date of machining;Root cause of occurrence;Corrective actions
AA2;AA2_003036;7200;CO2610 is non conforming;CO2610;22,2;-1;1;20,93;DA2512100009after re-measurement;awaiting QA confirmation. 2025.12.14CCCC-04-01 2025.01.05;CCCC-04-03;EM1060;12/14/25;1200;;;;AAAA-02-11 not stable lead to bad Cp;N/A
AA2;AA2_003032;7200;EL0218 is non conforming;EL0218;0;;1,5;1,68;the 1st time. after re-measurement dimension out of tolerance;awaiting QA decision. 2025.12.14;CCCC-04-01;EM1894;12/14/25;0;;;;not clear, most can be  accept by recheck value;N/A
AA2;AA2_003046;7300;EL0312 is non conforming;EL0312;0;0;1;340,7;/;waiting for QA decision, 2025.12.17;/;EM1383;12/17/25;0;;;;the root cause still under investigation, from AAAA-02-12;N/A
AA1;AA1_003856;7200;EL2415 is non conforming;EL2415;0;0;0,4;0,41;DA2512140004after re-measurement;awaiting QA confirmation. 2025.12.18;CCCC-04-01;EM1060;12/18/25;1200;8/31/10;AAAA-02-06;12/4/25;After data analysis, after release clamping, rim pitching CP&CPK is not good.;Cancel releasing clamping force
AA2;AA2_003055;7300;EL0312 is non conforming;EL0312;0;0;1;339,3;/;waiting for QA decision, 2025.12.22;/;EM1383;12/22/25;1000;9/22/12;AAAA-02-11;12/8/25;the root cause still under investigation, from AAAA-02-12;N/A
AA2;AA2_003047;7300;EL0312 is non conforming;EL0312;0;0;1;340,8;/;waiting for QA decision, 2025.12.22;/;EM2512;12/22/25;1000;;;;the root cause still under investigation, from AAAA-02-12;N/A
AA2;AA2_003062;7300;EL0312 is non conforming;EL0312;0;0;1;340,6;/;awaiting QA decision. 2025.12.24;/;EM1383;12/24/25;1000;;;;the root cause still under investigation, from AAAA-02-12;N/A
AA2;AA2_003037;4800;TR0310 is non conforming;TR0310;63,61;-0,11;0,11;64,23;/;waiting for QA reply, 2025.12.24 TR0313 mini program 2025-12-29 CCCC-04-02 #re-measurement completed, QA paused, awaiting concession, 2025.12.30, DA: 63.61 no-go gauge, 64.5no-go gauge OK,awaiting QA confirmation. 2025.12.31 DA updated,OP7200 report 2026-01-05 CCCC-04-01# re-measurement completed,see attachment 2026.01.06;CCCC-04-06;EM2512;12/24/25;4000;5/14/11;BBBB-02-06;12/19/25;not clear, only one case;N/A
AA2;AA2_003037;4800;TR0380 is non conforming;TR0380;0;;3;3,78;/;waiting for QA reply, 2025.12.24 TR0313 mini program 2025-12-29 CCCC-04-02 #re-measurement completed, QApaused, awaiting concession, 2025.12.30, DA: 63.61no-go gauge, 6..5no-go gaugeOK,awaiting QA confirmation. 2025.12.31 DA updated,OP7200 report 2026-01-05 CCCC-04-01# re-measurement completed,see attachment2026.01.06;CCCC-04-06;EM2512;12/24/25;4000;5/14/11;BBBB-02-06;12/19/25;not clear，only one case;N/A
AA2;AA2_003058;7300;EL0312 is non conforming;EL0312;0;0;1;;/;waiting for QA decision, 2025.12.24;/;EM1187;12/24/25;0;;;;the root cause still under investigation, from AAAA-02-12;N/A
AA2;AA2_003033;7200;CO2510 is non conforming;CO2510;25,3;-1;1;23,9;after re-measurement dimension out of tolerance;waiting for QA decision, 2025.12.24;CCCC-04-02;EM891;12/24/25;0;;;;AAAA-02-11 not stable lead to bad Cp;N/A
AA2;AA2_003070;7300;EL0312 is non conforming;EL0312;0;0;1;340,7;,;awaiting QA decision, 2025.12.30;/;EM31;12/30/25;0;;;;the root cause still under investigation, from AAAA-02-12;N/A
AA1;AA1_003763;7200;CO2710 is non conforming;CO2710;27;-1;1;26,61;/;QA verbal reply continue operation, 2025.11.25;CCCC-04-01;EM1383;11/25/25;1200;9/22/12;AAAA-02-09;10/24/25;Not clear, YTD DA rate 1%;N/A
AA2;AA2_003040;7200;TR0313 is non conforming;TR0313;0;;0,5;0,55;/;after OP7300 awaiting QA confirmation. 2025.12.12 DA updated: 2025.12.18(CCCC-04-01)report, result OK. 2025.12.18;CCCC-04-02;EM2295;12/12/25;4000;;;;BBBB-02-05 has deviation on centering;Cancelled compensation 0.005
AA2;AA2_003036;7200;EL0509 is non conforming;EL0509;0;;3;3,06;DA2512100009after re-measurement;awaiting QA confirmation. 2025.12.14CCCC-04-01 2025.01.05;CCCC-04-03;EM1060;12/14/25;1000;9/22/12;AAAA-02-11;11/29/25;most can be  accept by OP360  value, the impact of;N/A
AA1;AA1_003851;1200;PO3 is non conforming;PO3;;;;13,96;dimension out of tolerance;QA, 2025.12.21QA email reply: after OP1800, rework order, 2025.12.22;AAAA-02-09;EM2318;12/20/25;1200;9/22/12;AAAA-02-09;12/20/25;Only 1 case, human factor, engineer adjusted program by mistake;Lesson&learn
AA2;AA2_003055;7200;EL0509 is non conforming;EL0509;0;;3;3,74;/;OP7300QA, 2025.12.21DA updated,2025-12-22 CCCC-04-04# OP7200 report result: 3.72mm, out of tolerance: 0.72mm, NOK, waiting for QA reply, 2025.12.22;CCCC-04-04;EM2253;12/21/25;1000;9/22/12;AAAA-02-11;12/8/25;most can be  accept by OP360  value, the impact of;N/A
AA1;AA1_003875;4940;Appearance is non conforming;Appearance;;;;;reworked up to step 3 found tooth collapse in the slot,;after rework: reference number operator---, serial number JE and 129th tooth collapse in the slot. QA verbal: continue, 2025.12.22;/;EM1060;12/22/25;4940;;;;1. Marking NC due to marking machine precision NOK;Maintenance marking machine
