Part type;Job order;Operation number of detection;NC description;NC Code;Nomial;FLowerTolerance;FUpperTolerance;Measured Value;FDefectDesc_EN;Fqccomments_EN;MachineNum of detection;Operator of detection;Date of detection;Operation number of occurrence;operator of machining;MachineNum of occurrence;Date of machining;Root cause of occurrence;Corrective actions;extracted_machines;extracted_nc_codes;extracted_operations;defect_type;root_cause;root_cause_category;corrective_category;fqc_category;fqc_dates;fqc_dept_codes;defect_category
AA2;AA2_003036;7200;CO2610 is non conforming;CO2610;;-1;1;;DA2512100009after re-measurement;awaiting QA confirmation. 2025.12.14CCCC-04-01 2025.01.05;CCCC-04-03;EM1060;;1200;;;;AAAA-02-11 not stable lead to bad Cp;;AAAA-02-11;CO2610;;measurement;AAAA-02-11 not stable lead to bad Cp;Machine AAAA-02-11 Stability;Action Not Specified (NaN);Pending Decision;"2025.12.14; 2025.01.05";CCCC-04-01;DA2512100009 (Post-Check)
AA2;AA2_003032;7200;EL0218 is non conforming;EL0218;0;;;;the 1st time. after re-measurement dimension out of tolerance;awaiting QA decision. 2025.12.14;CCCC-04-01;EM1894;;0;;;;;;;EL0218;;dimensional;;Undefined;Action Not Specified (NaN);Pending Decision;2025.12.14;;Primary Measurement Failure
AA2;AA2_003046;7300;EL0312 is non conforming;EL0312;0;0;1;;;;;EM1383;;0;;;;;;;EL0312;;unknown;;Undefined;Action Not Specified (NaN);Undefined;;;Undefined
AA1;AA1_003856;7200;EL2415 is non conforming;EL2415;0;0;;;DA2512140004after re-measurement;awaiting QA confirmation. 2025.12.18;CCCC-04-01;EM1060;;1200;;AAAA-02-06;;;Cancel releasing clamping force;;EL2415;;measurement;;Undefined;Cancel Releasing Clamping Force;Pending Decision;2025.12.18;;Other Technical Records
AA2;AA2_003055;7300;EL0312 is non conforming;EL0312;0;0;1;;;;;EM1383;;1000;;AAAA-02-11;;;;;EL0312;;unknown;;Undefined;Action Not Specified (NaN);Undefined;;;Undefined
AA2;AA2_003047;7300;EL0312 is non conforming;EL0312;0;0;1;;;;;EM2512;;1000;;;;;;;EL0312;;unknown;;Undefined;Action Not Specified (NaN);Undefined;;;Undefined
AA2;AA2_003056;7300;EL0312 is non conforming;EL0312;0;0;1;;EL0312-MAX;;;EM2253;;1000;;;;;;;EL0312;;unknown;;Undefined;Action Not Specified (NaN);Undefined;;;EL0312-MAX Deviation
AA2;AA2_003062;7300;EL0312 is non conforming;EL0312;0;0;1;;;awaiting QA decision. 2025.12.24;;EM1383;;1000;;;;;;;EL0312;;unknown;;Undefined;Action Not Specified (NaN);Pending Decision;2025.12.24;;Undefined
AA2;AA2_003037;4800;TR0310 is non conforming;TR0310;;;;;;;CCCC-04-06;EM2512;;4000;;BBBB-02-06;;;;;TR0310;;unknown;;Undefined;Action Not Specified (NaN);Undefined;;;Undefined
AA2;AA2_003037;4800;TR0380 is non conforming;TR0380;0;;3;;;;CCCC-04-06;EM2512;;4000;;BBBB-02-06;;not clear，only one case;;;TR0380;;unknown;not clear，only one case;Unclear;Action Not Specified (NaN);Undefined;;;Undefined
AA2;AA2_003058;7300;EL0312 is non conforming;EL0312;0;0;1;;;;;EM1187;;0;;;;;;;EL0312;;unknown;;Undefined;Action Not Specified (NaN);Undefined;;;Undefined
AA2;AA2_003033;7200;CO2510 is non conforming;CO2510;;-1;1;;after re-measurement dimension out of tolerance;;CCCC-04-02;EM891;;0;;;;AAAA-02-11 not stable lead to bad Cp;;AAAA-02-11;CO2510;;dimensional;AAAA-02-11 not stable lead to bad Cp;Machine AAAA-02-11 Stability;Action Not Specified (NaN);Undefined;;;Out of Tolerance (Post-Check)
AA1;AA1_003902;7200;CO2910 is non conforming;CO2910;;;;;CO2910-R342;;CCCC-04-01;EM2243;;1200;;AAAA-02-09;;;Add manual tool calibration;;CO2910;;unknown;;Undefined;Add Manual Tool Calibration;Undefined;;;CO2910-R342 Deviation
AA2;AA2_003070;7300;EL0312 is non conforming;EL0312;0;0;1;;;;;EM31;;0;;;;;;;EL0312;;unknown;;Undefined;Action Not Specified (NaN);Undefined;;;Undefined
